class;temps;nom;cat;sexe;club
1;00:37:33;CHAUVET Benoît;SE;M;MEGEVE
2;00:38:06;SENN Simon;SE;M;CABB
3;00:38:42;CHAUVET Pierre;SE;M;TEAM SOCQUET SPORTS
4;00:40:33;BONNET Geoffroy;SE;M;/
5;00:41:11;CHAUVEAU Nicolas;SE;M;/
6;00:42:50;ROBIN Antoine;SE;M;STADE GENEVE
7;00:43:22;BULIT Florence;SE;F;ARNAUD COIFFIER EXPEDITION
8;00:43:34;DAUVERGNE Nicolas;SE;M;/
9;00:44:34;FAVRE Maxime;SE;M;CHATEL
10;00:45:52;PION Cedric;V1;M;/
11;00:45:59;COFFY Franck;ES;M;/
12;00:46:02;TUNSTALL Sarah;SE;F;KENDAL AAC
13;00:46:17;THEROND Nicolas;V1;M;/
14;00:46:21;RAY Jean;RA;Y;/
15;00:46:23;CUSIN Mathieu;SE;M;ROLEX
16;00:46:32;DUVAL Fréderic;V1;M;/
17;00:46:34;DURIX Jean;V1;M;TEAM TRIANDINE TRAIL
18;00:46:35;GUYOT Yannick;V1;M;/
19;00:46:52;CARMINATI Thomas;SE;M;RUN VALSERINE
20;00:47:06;RICHARD Michael;V1;M;TEAM TRIANDINE TRAIL
21;00:47:07;PAYET Jacques;SE;M;CAF COLLONGES SOUS SALEVE
22;00:47:17;Maxence;SE;M;/
23;00:47:33;WISARD Quentin;ES;M;NCS TRAILEMAN
24;00:47:48;AGUAYO Frederic;SE;M;/
25;00:48:03;CLUZEL Yannick;SE;M;SAMOENS TRAIL TEAM
26;00:48:20;JOYE Alexandre;V1;M;/
27;00:48:31;DEPLANCHE Laura;SE;F;ALES CEVENNES ATHLETISME
28;00:48:52;CHATELANAT John;V1;M;NCS TRAILEMAN
29;00:49:15;BERNARD ;V1;M;DOUCHPELME
30;00:49:45;DASSONVILLE Yann;SE;M;/
31;00:50:09;TILLOY Yoann;SE;M;MA PUCE FOREVER
32;00:50:14;MAGAT;V1;F;ATHLE ST JULIEN 
33;00:50:23;FOUQUET Jean;V2;M;TEAM TRIANDINE
34;00:50:28;RAFFENEL Ulrich;V1;M;/
35;00:50:32;VARAINE Richard;V2;M;AVOC
36;00:50:44;PERREARD Xavier;V2;M;PRAZ DE LYS SOMMAND SKIALPINISME
37;00:51:05;HOLIS Ludek;V1;M;TEAM TRIANDINE TRAIL
38;00:51:10;BRESSON Rafaël;SE;M;SALEVE TRAIL
39;00:51:34;FOURNIER Patrick;V1;M;/
40;00:52:19;BOSSONNEY Denis;V2;M;/
41;00:52:20;DUPERRET Patrick;V2;M;/
42;00:52:41;LEVIONNOIS;V1;F;TEAM TRIANDINE TRAIL
43;00:52:57;HERNICOT Nicolas;SE;M;TRAITEES DU SALEVE
44;00:53:09;MASSOU Loïc;V1;M;/
45;00:53:48;CHAPPUIS Pascal;V3;M;/
46;00:55:15;PELLEGRINI Fabien;V1;M;CLUB NORDIC GLIERES
47;00:55:30;DEMOLIS Romain;SE;M;LA TEAM TRIANDINE
48;00:56:17;BAY Martin;BA;Y;/
49;00:56:43;BOURDELLES Olivier;V1;M;LES COUREURS DU DIMANCHE
50;00:56:58;MARDUEL Romain;SE;M;TRAILER DU SALEVE
51;00:57:02;PELLEGRINI Marina;V1;F;TEAM TRIANDINE
52;00:57:12;LOTH Anthony;SE;M;/
53;00:57:15;COOLS Dylan;SE;M;/
54;00:57:21;DELETRAZ Marielle;V2;F;TEAM TRIANDINE TRAIL
55;00:57:22;DELETRAZ Gerard;V2;M;TEAM TRIANDINE TRAIL
56;00:57:32;FROMIN ALAOUI Fanny;V1;F;/
57;00:57:34;POULENARD Teddy;SE;M;/
58;00:58:17;PONCE Olivier;V1;M;/
59;00:59:06;GUERRY Simon;SE;M;/
60;00:59:52;DORIER Catherine;V1;F;/
61;01:00:03;SELLES Bertrand;SE;M;/
62;01:00:33;MARCHAND Pascal;V3;M;/
63;01:00:39;HAMON Eric;V1;M;/
64;01:00:44;HOSNY Annemarie malaka n;SE;F;DOUCHPELME
65;01:01:05;GERNIGON Frederique;V1;F;TEAM TRIANDINE
66;01:01:05;VIDONNE Didier;V1;M;/
67;01:01:22;MOSSAZ Robert;V2;M;/
68;01:01:37;GUTLEBEN David;SE;M;/
69;01:01:46;Elisa;ES;F;/
70;01:02:01;ARTIQUE Pierre;V3;M;GSSIG
71;01:02:02;SACCHI Chantal;V2;F;/
72;01:02:13;BOUSQUET Juliette;ES;F;/
73;01:03:09;GONNON Maël;SE;M;CAF COLLONGES SOUS SALEVE
74;01:03:44;RAFFENEL Alexandre;SE;M;DE LA VIE
75;01:04:02;CHAPRON CAVAZZANA Nadegen;SE;F;/
76;01:04:03;CUSIN Rémi;SE;M;/
77;01:04:20;DUEZ Yan;JU;M;/
