class;temps;nom;cat;sexe;club
1;00:34:00;PERRET Adrien;SE;M;HOKA
2;00:35:29;CHAUVET Benoit;SE;M;TEAM SCOTT MEGEVE
3;00:37:39;MULLER Michael;SE;M;/
4;00:38:19;FELBER Anthony;ES;M;/
5;00:39:04;LOISEL Etienne;SE;M;TEAM MERRELL
6;00:40:34;CRETINON Guillaume;SE;M;/
7;00:40:44;GANDER Alexandre;ES;M;FAUCIGNY ATHLETIC CLUB
8;00:40:52;SERASSET Aurelien;SE;M;/
9;00:41:17;GERARDI Hillary;SE;F;/
10;00:42:42;CROS Clement;SE;M;/
11;00:43:07;RENOTON Laurie;SE;F;RAVANEL
12;00:43:46;MASSON Claude;V2;M;/
13;00:43:50;BUSSEUIL Gwenael;SE;M;AIX ATHLE PROVENCE
14;00:44:08;BALTASSAT Yvan;SE;M;TEAM LOEX
15;00:44:27;MCDOWELL Jasper;ES;M;BERTHIES SPORT
16;00:44:48;BEDEZ Jpierre;V2;M;/
17;00:45:28;PAGE Jean ;SE;M;/
18;00:45:36;SCHMITT Thomas;V1;M;/
19;00:45:46;SEQUEIRA Arthur;SE;M;/
20;00:45:59;CLAYE Noe;JU;M;/
21;00:46:29;JUILLAGUET Catherine;V2;F;COURCHEVEL CSA
22;00:46:36;VERGNES Nicolas;SE;M;/
23;00:46:59;BONNANT Arthur;ES;M;ARTHUR BONNANT
24;00:47:16;SUKHOVA Vera;V2;F;MARVEJOLS CROSS MARATHON
25;00:47:57;WADIER Florent;SE;M;TEAM TRAIL PARIS
26;00:48:28;MARTIN Pierre;V3;M;YVES MARTIN
27;00:48:49;DEBORDE Bertrand;V1;M;/
28;00:49:37;LASNE Adrien;SE;M;PEAK PERFORMANCE
29;00:49:39;REVIL Christophe;SE;M;/
30;00:49:48;CLUZEL Yannick;SE;M;/
31;00:49:59;LEVASSEUR Gaëtan;SE;M;/
32;00:50:07;HEISS Walter;V2;M;HEISS
33;00:50:08;GANDER Alain;V2;M;FAUCIGNY ATHLETIC CLUB
34;00:50:16;RETOURS Antoine;SE;M;LYON MOUNTAIN TRAIL
35;00:51:51;MARTIN Fabian;SE;M;FABIAN MARTIN
36;00:51:51;PERREARD Xavier;V2;M;/
37;00:52:13;VERRIER Frederic;SE;M;/
38;00:52:16;ESCALIER Nicolas;ES;M;M
39;00:52:24;ROBERT Simon;SE;M;/
40;00:52:26;KUBLER Alexandre;V1;M;/
41;00:52:51;POLLET Gaelle;V1;F;/
42;00:53:04;PELLEGRIN Pierre;V2;M;/
43;00:53:06;GALL Damien;SE;M;/
44;00:53:07;GAUMONT MARTIN Berangere ;V1;F;/
45;00:53:10;ALISTAIR Alistair;V1;M;/
46;00:53:29;LEFEBVRE Christophe;V1;M;ECHIROLLES
47;00:54:11;LUPKINS Yann;SE;M;/
48;00:54:13;CAILLIEZ Mathieu;V1;M;/
49;00:54:18;VELUT Alexandre;SE;M;/
50;00:54:45;KNOX Jonathan;SE;M;/
51;00:55:14;JOLIVET Vincent;V1;M;TRAILERS DU MOLE
52;00:55:20;BESSON Guillaume;SE;M;/
53;00:55:38;SIMOND MIRADOLI Sophie ;V2;F;/
54;00:55:52;RIVIERE Jean Francois;V3;M;/
55;00:56:04;FOURDINIER Romain;ES;M;/
56;00:56:16;MOGENIER Jean;V1;M;PIROU VERTICAL TEAM
57;00:56:17;BALTASAT GUY;GU;Y;/
58;00:56:27;ETCHEBERRY Arnaud;V1;M;/
59;00:56:42;MONNET Gautier;SE;M;/
60;00:57:15;TENRET Vincent;SE;M;/
61;00:57:41;ANDRE Cyril;SE;M;/
62;00:58:50;DELAUNAY Guillaume;SE;M;/
63;00:59:26;BIRMAN Elsa;SE;F;TRAIL AVENTURES
64;00:59:44;LETORT Anthony;SE;M;/
65;00:59:58;MIRADOLI Fabio;SE;M;/
66;01:00:31;DUAY Sven;SE;M;/
67;01:00:37;CAILLIEZ Severine;V1;F;/
68;01:00:53;ZAVARISSE Maeva;SE;F;/
69;01:01:30;BEAU Pascal;V3;M;/
70;01:01:51;SCHAULI Marc;V1;M;/
71;01:02:40;PINGET Laurent;V1;M;/
72;01:02:42;BERNARD Stephane;SE;M;/
73;01:02:52;DESSERTENNE ;V1;M;/
74;01:03:14;ANDERSON Eck;SE;M;/
75;01:03:17;MATHIEUX PANTIN Mickael ;SE;M;/
